venue_name,address,city,zip_code
"Thu, Nov 20",8:00 PM,Portland,04101
Unknown Venue,2.4k followers,Portland,04101
"Wed, Dec 31",9:00 PM,Portland,04101
The Boathouse Waterfront Hotel & Restaurant,From $33.85,Portland,04101
Kennebunkport Resort Collection,857 followers,Portland,04101
Unknown Venue,Stolen Mojo & Sugarbox New Years Eve 2.0! At the Double Tree!,Portland,04101
"Wed, Dec 31",8:00 PM,Portland,04101
"DoubleTree by Hilton Hotel Portland, ME",From $55.20,Portland,04101
Stolen Mojo,59 followers,Portland,04101
Unknown Venue,Plush & Portland Sheraton NYE 2026! Portland's Premiere New Year's Party!,Portland,04101
Unknown Venue,200 Sable Oaks Drive,South Portland,04101
Unknown Venue,From $87.21,Portland,04101
Plush & Sheraton Sable Oaks,32 followers,Portland,04101
Explore more events,Fall Dance Concert 2025,Portland,04101
Tomorrow,7:30 PM + 2 more,Portland,04101
Bates Department of Theater and Dance,279 followers,Portland,04101
Tomorrow,7:30 PM,Portland,04101
The Dance Hall,From $23.55,Portland,04101
The Dance Hall,22 followers,Portland,04101
Going fast,Thomas College Student Leadership Conference 2025,Portland,04101
Saturday,9:00 AM,Portland,04101
Thomas College Student Life,211 followers,Portland,04101
Sales end soon,MDI Drama Presents Cinderella: Sunday,November 16 @2:00pm,04101
Sunday,2:00 PM,Portland,04101
MDI Drama,26 followers,Portland,04101
Sales end soon,28th Annual Otis Lecture: Olúfẹ́mi O. Táíwò,Portland,04101
Monday,7:30 PM,Portland,04101
Unknown Venue,2025 Feztival of Trees - Friday,Portland,04101
"Fri, Nov 28",9:00 AM,Portland,04101
Kora Temple,485 followers,Portland,04101
Almost full,Comedian Bob Marley Hermon Maine Friday November 28!,Portland,04101
"Fri, Nov 28",7:30 PM,Portland,04101
Morgan Hill Event Center,From $40.79,Portland,04101
COMEDIAN BOB MARLEY,7.6k followers,Portland,04101
"Sat, Dec 6",3:00 PM,Portland,04101
Kennebunkport Business Association,11 followers,Portland,04101
Unknown Venue,Fall Dance Concert 2025,Portland,04101
Tuesday,3:00 PM EST,Portland,04101
Nick Bray Architecture,79 followers,Portland,04101
Kaiser Permanente Institute for Health Policy,12 followers,Portland,04101
"Tue, Nov 25",12:00 PM EST,Portland,04101
Lifemark Health Group,136 followers,Portland,04101
Almost full,Atelier de formation clinique - Novembre 2025 - Chantal Blais,Portland,04101
"Thu, Nov 27",12:00 PM EST,Portland,04101
"Société québécoise de lipidologie, de nutrition et de métabolisme",311 followers,Portland,04101
Almost full,7 Quick Wins: Supporting Demand-Avoidant Learners in Your Classroom,Portland,04101
"Thu, Nov 27",11:00 AM EST,Portland,04101
Pooky Knightsmith,106 followers,Portland,04101
"Thu, Nov 27",6:00 PM EST,Portland,04101
OutGeekWomen - Badass Pros,5.8k followers,Portland,04101
